Date,ETo,ETo_30m
2021-01-01,0.6829099059104919,0.9
2021-01-02,0.8153671026229858,0.9
2021-01-03,0.6033264994621277,0.7000000000000001
2021-01-04,0.7151376008987427,0.9
2021-01-05,0.7307953834533691,0.9
2021-01-06,0.7058221697807312,0.7000000000000001
2021-01-07,0.4555567800998688,0.8
2021-01-08,0.5897449851036072,0.7000000000000001
2021-01-09,0.5092737078666687,1.0
2021-01-10,0.6140866875648499,1.0
2021-01-11,0.7443585395812988,1.0
2021-01-12,0.6617099642753601,1.0
2021-01-13,0.9748358130455017,1.3
2021-01-14,1.0885004997253418,1.6
2021-01-15,1.0885004997253418,1.7000000000000002
2021-01-16,0.9371597766876221,1.8
2021-01-17,1.0714221000671387,2.0
2021-01-18,2.6668217182159424,2.1
2021-01-19,3.6642606258392334,2.9000000000000004
2021-01-20,1.7721989154815674,2.0
2021-01-21,1.434320092201233,2.1
2021-01-22,0.875045657157898,1.3
2021-01-23,0.7461062669754028,1.1
2021-01-24,0.8138794898986816,1.5
2021-01-25,1.1501290798187256,1.4000000000000001
2021-01-26,1.3948942422866821,1.4000000000000001
2021-01-27,1.3948942422866821,1.3
2021-01-28,0.48246124386787415,1.4000000000000001
2021-01-29,0.9847139120101929,1.3
2021-01-30,1.132750391960144,1.5
2021-01-31,1.3711588382720947,1.5
2021-02-01,2.270364999771118,1.8
2021-02-02,1.030977725982666,1.9000000000000001
2021-02-03,1.492339015007019,1.8
2021-02-04,1.2169177532196045,1.9000000000000001
2021-02-05,1.337075114250183,2.0
2021-02-06,1.4701417684555054,2.0
2021-02-07,1.37665593624115,1.9000000000000001
2021-02-08,1.2547054290771484,1.6
2021-02-09,1.4881151914596558,1.5
2021-02-10,1.5886319875717163,1.5
2021-02-11,1.1173663139343262,1.4000000000000001
2021-02-12,1.6834853887557983,1.9000000000000001
2021-02-13,1.900136113166809,2.0
2021-02-14,1.745984673500061,2.0
2021-02-15,1.24639093875885,1.7000000000000002
2021-02-16,1.8490405082702637,2.3000000000000003
2021-02-17,2.653714656829834,2.3000000000000003
2021-02-18,1.7545579671859741,2.6
2021-02-19,2.0212109088897705,2.3000000000000003
2021-02-20,2.024238348007202,2.6
2021-02-21,1.8605165481567383,2.9000000000000004
2021-02-22,1.9135115146636963,3.1
2021-02-23,2.1196560859680176,3.4000000000000004
2021-02-24,3.5220396518707275,3.4000000000000004
2021-02-25,2.8877224922180176,3.2
2021-02-26,2.5329508781433105,3.2
2021-02-27,3.7540669441223145,3.3000000000000003
2021-02-28,2.420105218887329,3.3000000000000003
2021-03-01,3.4917759895324707,3.3000000000000003
2021-03-02,2.502415418624878,2.8000000000000003
2021-03-03,2.2675728797912598,2.9000000000000004
2021-03-04,2.6856229305267334,3.0
2021-03-05,2.6844069957733154,3.4000000000000004
2021-03-06,2.6700856685638428,3.4000000000000004
2021-03-07,2.6357202529907227,3.1
2021-03-08,2.4224588871002197,3.1
2021-03-09,2.307654857635498,3.1
2021-03-10,1.4090244770050049,2.9000000000000004
2021-03-11,1.6872966289520264,3.2
2021-03-12,2.1440863609313965,3.2
2021-03-13,2.46802020072937,2.9000000000000004
2021-03-14,1.9044429063796997,2.6
